symbol,date,open,close,high,low,volume,max(highs),max(highs)-open,,min(lows),min(lows)-open,
AAPL,23/06/2022 18:20,138.165,137.811,138.25,137.705,932610,,,,,,
AAPL,23/06/2022 18:25,137.8,137.795,138.09,137.765,695105,,,,,,
AAPL,23/06/2022 18:30,137.809,137.37,137.969,137.34,777486,,,,,,
AAPL,23/06/2022 18:35,137.375,136.93,137.375,136.93,786886,,,,,,
AAPL,23/06/2022 18:40,136.96,137.265,137.285,136.92,712746,,,,,,
AAPL,23/06/2022 18:45,137.25,137.45,137.47,137.155,549105,,,,,,
AAPL,23/06/2022 18:50,137.44,137.33,137.515,137.302,474228,,,,,,
AAPL,23/06/2022 18:55,137.31,137.09,137.369,137.05,522799,,,,,,
AAPL,23/06/2022 19:00,137.07,136.49,137.14,136.459,719852,,,,,,
AAPL,23/06/2022 19:05,136.498,136.73,136.84,136.43,710259,,,,,,
AAPL,23/06/2022 19:10,136.7,136.805,136.93,136.6,497673,,,,,,
AAPL,23/06/2022 19:15,136.78,136.93,137.01,136.69,815625,,,,,,
AAPL,23/06/2022 19:20,136.93,136.877,137.1,136.73,533723,,,,,,
AAPL,23/06/2022 19:25,136.86,136.8,136.96,136.705,430745,,,,,,
AAPL,23/06/2022 19:30,136.786,136.53,136.9,136.516,410090,,,,,,
AAPL,23/06/2022 19:35,136.55,136.36,136.66,136.24,479438,,,,,,
AAPL,23/06/2022 19:40,136.35,136.285,136.58,136.28,544685,,,,,,
AAPL,23/06/2022 19:45,136.28,136.32,136.475,136.121,524068,,,,,,
AAPL,23/06/2022 19:50,136.3,136.49,136.585,136.18,455133,,,,,,
AAPL,23/06/2022 19:55,136.48,136.415,136.56,136.34,463232,,,,,,
AAPL,23/06/2022 20:00,136.412,136.19,136.412,136.04,492474,,,,,,
AAPL,23/06/2022 20:05,136.17,136.48,136.62,136.16,603308,,,,,,
AAPL,23/06/2022 20:10,136.48,136.45,136.63,136.36,417437,,,,,,
AAPL,23/06/2022 20:15,136.464,136.475,136.59,136.383,396990,,,,,,
AAPL,23/06/2022 20:20,136.49,136.45,136.69,136.25,532651,,,,,,
AAPL,23/06/2022 20:25,136.41,136.44,136.605,136.335,468283,,,,,,
AAPL,23/06/2022 20:30,136.43,136.71,136.72,136.425,410340,,,,,,
AAPL,23/06/2022 20:35,136.703,136.52,136.79,136.365,515588,,,,,,
AAPL,23/06/2022 20:40,136.545,136.41,136.57,136.27,343040,,,,,,
AAPL,23/06/2022 20:45,136.42,136.6,136.62,136.36,384122,,,,,,
AAPL,23/06/2022 20:50,136.59,136.87,136.9,136.57,593584,,,,,,
AAPL,23/06/2022 20:55,136.875,137.004,137.03,136.86,581418,,,,,,
AAPL,23/06/2022 21:00,137.01,137,137.15,136.92,695296,,,,,,
AAPL,23/06/2022 21:05,137.01,137.13,137.18,136.995,444134,,,,,,
AAPL,23/06/2022 21:10,137.12,137.02,137.188,136.97,409740,,,,,,
AAPL,23/06/2022 21:15,137.02,137.07,137.14,136.91,518174,,,,,,
AAPL,23/06/2022 21:20,137.06,137.16,137.25,136.89,532460,,,,,,
AAPL,23/06/2022 21:25,137.17,137.3,137.385,137.08,524531,,,,,,
AAPL,23/06/2022 21:30,137.29,137.56,137.615,137.261,602004,,,,,,
AAPL,23/06/2022 21:35,137.55,137.66,137.72,137.48,577966,,,,,,
AAPL,23/06/2022 21:40,137.67,137.565,137.7,137.53,429591,,,,,,
AAPL,23/06/2022 21:45,137.57,137.45,137.58,137.365,473646,,,,,,
AAPL,23/06/2022 21:50,137.46,137.57,137.61,137.46,331433,,,,,,
AAPL,23/06/2022 21:55,137.56,137.63,137.69,137.46,405771,,,,,,
AAPL,23/06/2022 22:00,137.625,137.685,137.719,137.36,578649,,,,,,
AAPL,23/06/2022 22:05,137.68,137.771,137.9,137.645,707437,,,,,,
AAPL,23/06/2022 22:10,137.78,137.855,137.87,137.64,476315,,,,,,
AAPL,23/06/2022 22:15,137.84,137.7,137.87,137.521,574131,,,,,,
AAPL,23/06/2022 22:20,137.695,137.71,137.857,137.63,584455,,,,,,
AAPL,23/06/2022 22:25,137.72,137.91,138.04,137.72,771353,,,,,,
AAPL,23/06/2022 22:30,137.905,138.335,138.36,137.9,997130,,,,,,
AAPL,23/06/2022 22:35,138.33,138.08,138.38,138.02,2017332,,,,,,
AAPL,23/06/2022 22:40,138.09,138.151,138.462,138.035,982656,,,,,,
AAPL,23/06/2022 22:45,138.155,138.38,138.49,138.145,1169436,,,,,,
AAPL,23/06/2022 22:50,138.39,138.09,138.585,138.07,1634221,,,,,,
AAPL,23/06/2022 22:55,138.12,138.25,138.5,138.03,2041034,,,,,,
AAPL,23/06/2022 23:00,138.245,138.1,138.375,137.535,6679700,,,,,,
AAPL,23/06/2022 23:05,138.11,138.19,138.27,138.06,391591,,,,,,
AAPL,23/06/2022 23:10,138.2,138.1,138.27,137.971,1026678,,,,,,
AAPL,23/06/2022 23:15,138.16,138.18,138.27,138.08,32706,,,,,,
AAPL,23/06/2022 23:20,138.19,138.23,138.24,138.07,9959,,,,,,
AAPL,23/06/2022 23:25,138.215,138.19,138.24,138.14,5471,,,,,,
AAPL,23/06/2022 23:30,138.17,138.16,138.27,138.16,71227,,,,,,
AAPL,23/06/2022 23:35,138.19,138.155,138.22,138.12,4660,,,,,,
AAPL,23/06/2022 23:40,138.13,137.98,138.18,137.91,10312,,,,,,
AAPL,23/06/2022 23:45,137.95,137.98,138.04,137.93,11681,,,,,,
AAPL,23/06/2022 23:50,138,137.84,138.02,137.81,23387,,,,,,
AAPL,23/06/2022 23:55,137.86,137.87,137.94,137.71,11540,,,,,,
AAPL,24/06/2022 00:00,137.85,137.92,137.95,137.85,1677,,,,,,
AAPL,24/06/2022 00:05,137.9,137.92,137.93,137.82,5514,,,,,,
AAPL,24/06/2022 00:10,137.86,137.92,137.99,137.81,7632,,,,,,
AAPL,24/06/2022 00:15,137.9,137.9,138.01,137.9,14358,,,,,,
AAPL,24/06/2022 00:20,137.89,137.94,137.99,137.85,2486,,,,,,
AAPL,24/06/2022 00:25,137.93,137.9,137.94,137.86,2537,,,,,,
AAPL,24/06/2022 00:30,137.93,137.895,137.93,137.86,203,,,,,,
AAPL,24/06/2022 00:35,137.9,137.87,137.92,137.86,2163,,,,,,
AAPL,24/06/2022 00:40,137.91,137.97,137.97,137.87,4387,,,,,,
AAPL,24/06/2022 00:45,137.92,137.9,137.99,137.84,6461,,,,,,
AAPL,24/06/2022 00:50,137.93,137.91,137.98,137.85,3181,,,,,,
AAPL,24/06/2022 00:55,137.89,137.9,137.93,137.79,11616,,,,,,
AAPL,24/06/2022 01:00,137.85,138.01,138.05,137.85,12408,,,,,,
AAPL,24/06/2022 01:05,138.04,138.02,138.18,137.93,6327,,,,,,
AAPL,24/06/2022 01:10,138.05,137.975,138.09,137.87,3619,,,,,,
AAPL,24/06/2022 01:15,137.92,137.97,138.05,137.9,938,,,,,,
AAPL,24/06/2022 01:20,137.95,138,138.03,137.92,10757,,,,,,
AAPL,24/06/2022 01:25,137.95,137.96,138.05,137.95,3824,,,,,,
AAPL,24/06/2022 01:30,137.93,138,138.04,137.93,2629,,,,,,
AAPL,24/06/2022 01:35,137.99,137.975,138,137.94,6029,,,,,,
AAPL,24/06/2022 01:40,137.99,138.02,138.03,137.95,8627,,,,,,
AAPL,24/06/2022 01:45,138.03,138.11,138.16,138.01,2437,,,,,,
AAPL,24/06/2022 01:50,138.02,138.095,138.11,138.02,3480,,,,,,
AAPL,24/06/2022 01:55,138.1,138.075,138.1,138.05,1639,,,,,,
AAPL,24/06/2022 02:00,138.06,138.1,138.15,138.06,2779,,,,,,
AAPL,24/06/2022 02:05,138.105,138.105,138.13,138.08,1294,,,,,,
AAPL,24/06/2022 02:10,138.1,138.16,138.18,138.1,6172,,,,,,
AAPL,24/06/2022 02:15,138.15,138.15,138.18,138.12,6168,,,,,,
AAPL,24/06/2022 02:20,138.145,138.15,138.2,138.14,4091,,,,,,
AAPL,24/06/2022 02:25,138.16,138.16,138.17,138.12,3565,,,,,,
AAPL,24/06/2022 02:30,138.15,138.17,138.21,138.11,2803,,,,,,
